isolate,competency
940,Monomorphic
280104,Monomorphic
Alfort,Monomorphic
American-Strain,Monomorphic
AnTat-3-1,Monomorphic
AnTat-3-3,Monomorphic
ATCC-30019,Monomorphic
ATCC-30023,Monomorphic
ATCC30019,Monomorphic
BoTat-1-1,Monomorphic
Canadian-Strain,Monomorphic
Colombia,Monomorphic
Dodola_943,Monomorphic
E28,Monomorphic
HAMBURG,Monomorphic
IVMt1,Monomorphic
Kazakstan,Monomorphic
Kenya,Monomorphic
MCAM-ET-2013-MU-01,Monomorphic
MCAM-ET-2013-MU-02,Monomorphic
MCAM-ET-2013-MU-04,Monomorphic
MCAM-ET-2013-MU-05,Monomorphic
MCAM-ET-2013-MU-09,Monomorphic
MCAM-ET-2013-MU-14,Monomorphic
MCAM-ET-2013-MU-17,Monomorphic
Merzouga-56,Monomorphic
MU09,Monomorphic
MU10,Monomorphic
OVI,Monomorphic
Philippines,Monomorphic
RoTat_1.2,Monomorphic
STIB-816,Monomorphic
STIB805,Monomorphic
STIB818,Monomorphic
SVP,Monomorphic
Te-Ap-N-D1,Monomorphic
Zagora-I-17,Monomorphic
927,Pleomorphic
108AT,Pleomorphic
108BT,Pleomorphic
15BT-relapse,Pleomorphic
340AT,Pleomorphic
348BT,Pleomorphic
57AT,Pleomorphic
ABBA,Pleomorphic
AGAL-CI-78-TCH312,Pleomorphic
AnTat-12-1S,Pleomorphic
BIM-AnTat-8-1-P8,Pleomorphic
Bosendja,Pleomorphic
EATRO_1125_AnTat_1.1_90:13,Pleomorphic
EATRO2340,Pleomorphic
EATRO3,Pleomorphic
FEO,Pleomorphic
FEO-AnTat-16-1,Pleomorphic
GMOM-ZM-83-TRPZ-317,Pleomorphic
GPAP-CI-82-KP10-29,Pleomorphic
Jua,Pleomorphic
LIGO,Pleomorphic
LiTat-1-5-P9,Pleomorphic
LOGRA,Pleomorphic
MBA,Pleomorphic
MBO-NG-74-R10,Pleomorphic
MBOT-GM-77-GB2,Pleomorphic
MCAP-CI-91-BALEA-2,Pleomorphic
MHOM-SD-82-BIYAMINA,Pleomorphic
MHOM-SD-82-MUSIKIA-cloneA,Pleomorphic
MHOM-ZM-80-TRPZ-23,Pleomorphic
MHOM-ZM-83-TRPZ-349,Pleomorphic
MSUS-CI-78-TSW-157,Pleomorphic
MSUS-CI-78-TSW382,Pleomorphic
MSUS-CI-82-TSW62,Pleomorphic
MSUS-CI-83-TSW-11,Pleomorphic
Nabe,Pleomorphic
NDMI,Pleomorphic
NKOUA,Pleomorphic
OUSOU,Pleomorphic
Pakwa,Pleomorphic
ROUPO-VAVOUA--80-MURAZ-14,Pleomorphic
Rumphi,Pleomorphic
STIB-851,Pleomorphic
STIB247,Pleomorphic
STIB386,Pleomorphic
STIB900,Pleomorphic
UPA_PO,Pleomorphic
