chrom	length	bases	mean	min	max
Tb927.1.3230	2148	280541	130.61	0	141
Tb927.10.13980	627	77481	123.57	95	135
Tb927.10.14170	939	223649	238.18	139	265
Tb927.10.15300	3465	426783	123.17	42	157
Tb927.10.1820	795	110911	139.51	93	149
Tb927.10.2810	1017	136982	134.69	102	143
Tb927.10.4720	1083	125491	115.87	50	126
Tb927.11.1940	1395	184391	132.18	81	144
Tb927.11.3980	1557	181073	116.30	76	129
Tb927.3.4350	2325	294144	126.51	44	137
Tb927.4.980	1119	149203	133.34	92	145
Tb927.5.1220	567	89959	158.66	112	169
Tb927.6.1100	1479	174880	118.24	41	137
Tb927.6.2630	1320	183187	138.78	39	153
Tb927.6.3660	831	111942	134.71	91	151
Tb927.6.5000	1185	117179	98.89	41	111
Tb927.7.6560	684	104898	153.36	102	166
Tb927.8.3480	1827	285848	156.46	94	175
Tb927.8.3810	1173	140966	120.18	93	133
Tb927.9.10660	528	71038	134.54	104	143
total	26064	3470546	133.15	0	265
