chrom	length	bases	mean	min	max	source_file
Tb927.1.3230	2148	2083	0.97	0	1	barcode3_consensus
Tb927.10.14170	939	536	0.57	0	2	barcode3_consensus
Tb927.10.15300	3465	7423	2.14	0	3	barcode3_consensus
Tb927.10.1820	795	2726	3.43	1	5	barcode3_consensus
Tb927.10.2810	1017	8016	7.88	3	10	barcode3_consensus
Tb927.10.4720	1083	4504	4.16	1	7	barcode3_consensus
Tb927.11.1940	1395	172008	123.3	57	138	barcode3_consensus
Tb927.11.3980	1557	1218	0.78	0	1	barcode3_consensus
Tb927.3.4350	2325	151538	65.18	23	84	barcode3_consensus
Tb927.4.980	1119	7163	6.4	2	11	barcode3_consensus
Tb927.6.2630	1320	5540	4.2	2	6	barcode3_consensus
Tb927.6.5000	1185	4916	4.15	0	6	barcode3_consensus
Tb927.8.3480	1827	3034	1.66	0	3	barcode3_consensus
Tb927.8.3810	1173	563	0.48	0	1	barcode3_consensus
total	21348	371268	17.39	0	138	barcode3_consensus
Tb927.1.3230	2148	3038	1.41	0	5	barcode2_consensus
Tb927.10.13980	627	1390	2.22	0	4	barcode2_consensus
Tb927.10.14170	939	2867	3.05	0	5	barcode2_consensus
Tb927.10.15300	3465	19120	5.52	0	10	barcode2_consensus
Tb927.10.1820	795	12940	16.28	8	20	barcode2_consensus
Tb927.10.2810	1017	7247	7.13	1	11	barcode2_consensus
Tb927.10.4720	1083	3272	3.02	0	5	barcode2_consensus
Tb927.11.1940	1395	217598	155.98	83	167	barcode2_consensus
Tb927.11.3980	1557	721	0.46	0	2	barcode2_consensus
Tb927.3.4350	2325	141928	61.04	19	77	barcode2_consensus
Tb927.4.980	1119	8001	7.15	2	10	barcode2_consensus
Tb927.6.2630	1320	4447	3.37	0	6	barcode2_consensus
Tb927.6.5000	1185	11929	10.07	0	13	barcode2_consensus
Tb927.7.6560	684	1868	2.73	0	5	barcode2_consensus
Tb927.8.3480	1827	2579	1.41	0	3	barcode2_consensus
Tb927.9.10660	528	2503	4.74	2	6	barcode2_consensus
total	22014	441448	20.05	0	167	barcode2_consensus
Tb927.1.3230	2148	280541	130.61	0	141	ERR9695747_consensus
Tb927.10.13980	627	77481	123.57	95	135	ERR9695747_consensus
Tb927.10.14170	939	223649	238.18	139	265	ERR9695747_consensus
Tb927.10.15300	3465	426783	123.17	42	157	ERR9695747_consensus
Tb927.10.1820	795	110911	139.51	93	149	ERR9695747_consensus
Tb927.10.2810	1017	136982	134.69	102	143	ERR9695747_consensus
Tb927.10.4720	1083	125491	115.87	50	126	ERR9695747_consensus
Tb927.11.1940	1395	184391	132.18	81	144	ERR9695747_consensus
Tb927.11.3980	1557	181073	116.3	76	129	ERR9695747_consensus
Tb927.3.4350	2325	294144	126.51	44	137	ERR9695747_consensus
Tb927.4.980	1119	149203	133.34	92	145	ERR9695747_consensus
Tb927.5.1220	567	89959	158.66	112	169	ERR9695747_consensus
Tb927.6.1100	1479	174880	118.24	41	137	ERR9695747_consensus
Tb927.6.2630	1320	183187	138.78	39	153	ERR9695747_consensus
Tb927.6.3660	831	111942	134.71	91	151	ERR9695747_consensus
Tb927.6.5000	1185	117179	98.89	41	111	ERR9695747_consensus
Tb927.7.6560	684	104898	153.36	102	166	ERR9695747_consensus
Tb927.8.3480	1827	285848	156.46	94	175	ERR9695747_consensus
Tb927.8.3810	1173	140966	120.18	93	133	ERR9695747_consensus
Tb927.9.10660	528	71038	134.54	104	143	ERR9695747_consensus
total	26064	3470546	133.15	0	265	ERR9695747_consensus
