chrom	length	bases	mean	min	max
Tb927.1.3230	2148	2083	0.97	0	1
Tb927.10.14170	939	536	0.57	0	2
Tb927.10.15300	3465	7423	2.14	0	3
Tb927.10.1820	795	2726	3.43	1	5
Tb927.10.2810	1017	8016	7.88	3	10
Tb927.10.4720	1083	4504	4.16	1	7
Tb927.11.1940	1395	172008	123.30	57	138
Tb927.11.3980	1557	1218	0.78	0	1
Tb927.3.4350	2325	151538	65.18	23	84
Tb927.4.980	1119	7163	6.40	2	11
Tb927.6.2630	1320	5540	4.20	2	6
Tb927.6.5000	1185	4916	4.15	0	6
Tb927.8.3480	1827	3034	1.66	0	3
Tb927.8.3810	1173	563	0.48	0	1
total	21348	371268	17.39	0	138
