chrom	length	bases	mean	min	max
Tb927.1.3230	2148	3038	1.41	0	5
Tb927.10.13980	627	1390	2.22	0	4
Tb927.10.14170	939	2867	3.05	0	5
Tb927.10.15300	3465	19120	5.52	0	10
Tb927.10.1820	795	12940	16.28	8	20
Tb927.10.2810	1017	7247	7.13	1	11
Tb927.10.4720	1083	3272	3.02	0	5
Tb927.11.1940	1395	217598	155.98	83	167
Tb927.11.3980	1557	721	0.46	0	2
Tb927.3.4350	2325	141928	61.04	19	77
Tb927.4.980	1119	8001	7.15	2	10
Tb927.6.2630	1320	4447	3.37	0	6
Tb927.6.5000	1185	11929	10.07	0	13
Tb927.7.6560	684	1868	2.73	0	5
Tb927.8.3480	1827	2579	1.41	0	3
Tb927.9.10660	528	2503	4.74	2	6
total	22014	441448	20.05	0	167
